Family,First,Last,Flips,Percentage
Barbani,stan,stan,0,0
Grioni,stan,stan,0,0
Faccio,tractor,tractor,0,0
Bilongo,tractor,tractor,0,0
Addoldo,stan,stan,0,0
Gradenigo,tractor,stan,13,0.361111
Giacomo,tractor,tractor,0,0
Mercadante,stan,stan,0,0
Giustinian,stan,stan,0,0
Batello,tractor,tractor,0,0
Belegno,stan,stan,0,0
Zusto,stan,stan,0,0
Mazaman,stan,stan,0,0
"di Albiola",tractor,tractor,0,0
"di Loreo",stan,stan,0,0
Bendolo,tractor,tractor,0,0
Senadori,stan,stan,0,0
Gussoni,stan,tractor,1,0.333333
"Da Molin",tractor,stan,5,0.454545
Bellono,stan,stan,0,0
Businago,stan,tractor,1,0.5
Avenanzo,stan,stan,0,0
Alberto,stan,stan,0,0
Mastropetro,stan,stan,0,0
Marin,stan,tractor,1,0.25
"Bocca d'Uomo",tractor,tractor,0,0
Marioni,stan,stan,0,0
Canal,stan,stan,2,0.4
Minio,tractor,stan,1,0.333333
Veronese,stan,stan,0,0
Vidal,tractor,tractor,0,0
Marzulo,stan,stan,0,0
Encio,stan,stan,0,0
Centosoldi,stan,stan,0,0
"da Mantova",stan,stan,0,0
Katarino,tractor,tractor,0,0
Capello,stan,stan,0,0
Baseggio,tractor,stan,1,0.5
Nicola,stan,stan,0,0
Coppo,stan,tractor,1,0.5
Marangon,tractor,tractor,0,0
Rustico,stan,stan,0,0
Speziale,stan,stan,0,0
Barozzi,stan,stan,0,0
Falier,tractor,stan,1,0.125
Tonisti,tractor,tractor,0,0
Zulian,tractor,tractor,0,0
Arduini,stan,stan,0,0
Navigroso,stan,stan,0,0
Fradello,tractor,stan,1,0.5
Storladi,stan,stan,0,0
Bonizzo,stan,stan,0,0
Grego,stan,stan,0,0
Agadi,stan,stan,0,0
Vitturi,tractor,tractor,0,0
"da Ferraguto",tractor,tractor,0,0
Nadal,stan,stan,0,0
"Lissado da Luprio",tractor,tractor,0,0
Tomato,stan,stan,0,0
Manolesso,stan,stan,0,0
Belli,tractor,tractor,0,0
"de Ranerio",stan,stan,0,0
Pagan,tractor,tractor,0,0
"di Burges",tractor,tractor,0,0
Donato,stan,stan,0,0
"Dalla Fontana",stan,stan,0,0
Soranzo,stan,tractor,1,0.166667
"di Troia",stan,stan,0,0
Albino,stan,stan,0,0
Groscalco,stan,stan,0,0
