Family;Start;End
 MAINA; 1341;?
 DIESENOVE; ?;1361
 FAVERO inizio; '300;1308
 CONDULMER; 1381;1797
 MADEO; 1297; nel '300
 ZUCCONI v.; RECANATI;
 GIRARDO 1297,; 1381; tra 1666 e 1698
 GHISI; 1297; prima del 1759
 GOZZI; 1646;1679
 MARIONI; 1297;1373 12
 ZANTANI; 1297; tra 1543 e 1605
 BONDUMIER 1297,; 1303;1779
 PESARO; 1297;1797
 DAVIDOR; 1297; tra 1379 e 1493
 STORLADI 1297,; 1381;1458
 CODEGLIONI (COLLEONE); 1450;1475
 ACOTANTO; 1297; metà '300
 BIANCO; ?;1317
 OTTOBONI; 1646; banditi nel 1709
 BARZIZZA; 1694;1797
 MATONO; ?; tra 1612 e 1640
 PREMUDA v.; SEMENZI;
 MULA (DA); 1297;1797
 PAPACIZA; 1311;1426
 FONSECA; 1664;1713
 VIZZAMANO; 1381; tra 1709 e 1712
 REZZONICO; 1687;1797
 DOTTO (DOTHO); 1297;1313
 MAGNO; 1297;1797
 FONTANA (DALLA); 1297;1504
 BARBETTO; ?;1367
 LOMBARDO; 1297; tra 1734 e 1759
 MENEGATO; ?;1373
 CARBONIZZI; ?;1312
 BENZON (S. Agostin) 1407,; 1484;1797
 CASTELLI; 1687;1759
 BASODELLO; ?;1325
 LANDO; 1297;1734
 LIPPOMANO; 1381;1797
 ROVERE; 1512;1726
 ZACCO; 1653;1797
 MEMMO; 1297;1797
 RAVA; ?;1307
 BARBO; 1297; tra 1701 e 1709
 MAISTRORSO; 1297; primi '300
 BANBAZINI; ?;1361
 AVENTURADO; ?;1350'
 ZAMBELLI (S. Giac. dell'Orio); 1648;1797
 TRASMONDI; ?;1305
 DONISDIO; ?;1312
 LOREDAN; 1297;1797
 TRENTO; 1777;1797
 POLANI; 1297;1760
 MORELLI; 1686;1797
 VENDRAMIN; 1381;1797
 VENTOLO; ?;1343
 GRIONI; 1297; prima del 1759
 VIDAL; 1297;1332 23
 ARIANI nel; '300;1349 5
 ROTA; 1685;1797
 DA COMINO 1297,; 1304; nel '300
 DOZANE; 1297;?
 GALAENZI; ?;1303
 COSTANTINO 1297 o; 1348;? 9
 BONCI (BONZI); 1297;1508
 BARISON; 1317;1414
 DON ZORZI; 1297;1312
 GUGINO; ?;1311
 TASCA; 1646; tra 1734 e 1760
 DANSELMO; ?; prima del 1493
 MANFROTTO; 1698;1793
 RIVA (DA); 1297;1797
 DONINI v.; VERDIZZOTTI;
 QUERINI; 1297;1797
 SCHOGOLO (SECOGOLO); 1297;1351
 PINO; 1297; dopo 1379
 DALLE SEVOLE; 1297;1371
 CONTARINI; 1297;1797
 BERENGO; ?;1372
 LUGMA (LUGNANO); 1297;1371
 BELLONI; 1646; tra 1655 e 1666
 GHERARDINI; 1652;1797
 BABILONIO; 1298;1375
 BETTONI; 1684;1764
 BALASTRI (BALESTRO); 1311;1534
 CANABRI; ?;1312
 POLVARO; 1662; tra 1709 e 1712
 ABRAMO; 1297;1364 2
 TINTO; ?;1361
 VIANOL; 1658; tra 1709 e 1712
 CROCE; ?;1382
 LION CAVAZZA; 1652;1797
 DERETTI; 1355;?
 SPINELLI; 1718;1797
 WIDMAN; 1646;1797
 LAZZARI; 1660;1775
 DIESELLO (DIESOLO); 1310;1402
 PAPAFAVA; 1652;1797
 ZENOBIO; 1647;1797
 ANGARAN; 1655;1797
 TRUNZANE; ?;1388
 BARBARIGO; 1297;1797
 RASPI; 1662;1797
 BATTAGLIONI; 1516; prima del 1543
 ORSO; 1381;1466
 SEMENZI (PREMUDA); 1685;1797
 MIEGANO 13; 1297; tra 1666 e 1698
 CAVALLI; 1381;1797
 BONOMO; 1297;1314 7
 MEZZO (DE) 1297,; 1381;1797
 MORTADELLO; ?;1327
 PROTTI; 1403;1415
 SCHONDOLER; ?;1321
 ZANARDI; 1653; tra 1734 e 1759
 BOCCOLE (DALLE) nel '300; ; 1483
 SANUDO; 1297;1797
 MAFFETTI; 1654;1797
 ZORZI; 1297;1797
 VENIER; 1297;1797
 FRADELLO (di Candia); 1493;1666
 MASSOLI; 1297; dopo 1612
 PIOVENE; 1654;1797
 DARPIN; 1297;1503
 SENADORI; ?;1351
 BONVICINI; 1663;1786
 VITTURI; 1297;1797
 CATTI; 1646;1797
 FINI; 1649;1797
 GHELTOF; 1697;1797
 MIANI; 1297;1797
 PALLAVICINO 1423,; 1427;1797
 DANDOLO; 1297;1797
 STENO; 1297;1413
 BALESTRIERI 1301– dopo; 1360;
 COCCO; 1297;1797
 CORNER; 1297;1797
 MARONO; ?;1356
 MINELLI; 1650;1797
 BRANDOLIN; 1686;1797
 BASEGGIO; 1297;1797
 CELSI; 1297;1789
 DA FANO; 1297;1401
 VALMARANA; 1658;1797
 PARUTA; 1381;1797
 PENTOLO; ?;1396
 AGRINAL; 1310;1396
 POLINI nel; '300;1348 17
 ARDUINI 1297,; 1381;1518
 ANTELMI; 1646;1797
 CARAVELLO; 1297;1567
 LAGHI; 1661; tra 1734 e 1759
 VALIER; 1297;1797
 FERRO 1297,; 1310; tra 1640 e 1655
 MOLIN 1297,; 1303;1797
 BRAGADIN; 1297;1797
 BALUCHIN; ?;1321
 REGIN; ?;1351
 ROMIERI; 1689;1797
 BREDANI; 1381;dopo 1527
 VIANI; 1297;1303 22
 MORA (S. Felice); 1694;1797
 BONLINI 1667,; 1685;1797
 SAVELLO; 1404; c. 1685
 SANGIANTOFFETTI; 1649;1797
 BRIANI; 1297; tra 1666 e 1698
 ZON; 1651; tra 1683 e 1693
 ADAMO; ?;1375
 CERNOVICI; 1473; tra 1655 e 1666
 DENTE; 1310;1432
 COPPO; 1297; tra 1709 e 1726
 FARSETTI; 1664;1797
 MOROSINI; 1297;1797
 MUAZZO; 1297;1797
 ZORDANI; ?;1412
 MAGANESI dopo; 1297;1361
 MANOLESSO; 1297;1797
 BENEDETTI 1297, 1303 –; 1632;40
 FLANGINI; 1664;1797
 NICOLA; 1297;1312 15
 PATANI; ?;1376
 TERZI; 1405;?
 BELEGNO 1297,; 1311;1698
 PIERO; 1297;1301
 ISTRIGO; 1297; dopo 1379
 VOLPE; 1297; dopo 1379
 GRIMANI; 1297;1797
 DEDDO; ?;1402
 VIARO; 1297;1666
 COSSAZZA; 1423; tra 1640 e 1655
 CARESIN; 1381;1430
 VETIGRASSI; 1297;1308
 DI LORZO; ?;1316
 SCLAVO; ?; nel '300
 NAVIGROSO 14; 1297;1342
 VERI; 1297;1303
 SCROFFA; 1698;1797
 GRISONI; 1297; bandita prima del 1378
 ZAGURI; 1646;1797
 FACCIO; ?;1308
 BONFADINI; 1648;1797
 BARBETTA; ?;1373
 SALLONESI; ?;1305
 GEZO prima del; 1379;1478
 GAMBARA; 1653;1797
 AMBOISE; ; 1501
 DRUSCO; ?;1365
 MALATESTA; 1480,1503; tra 1709 e 1734
 GABRIEL (CABRIEL); 1297;1797
 STATIO; 1653; tra 1709 e 1712
 METTADORI; ?;1344
 BATTAGIA; 1439;1797
 LINI; 1685;1797
 BERNARDO; 1297;1797
 GARZONI; 1381;1797
 BELL’OSELLO; ?;1374
 RAGUSIO; ?;1352
 LISIADO; ?;1348
 CAPELLO; 1297;1797
 LAMBERTINI; ?;1797
 PIANEGA; 1297; nel '300
 ZANCARUOL; 1297;1766
 BASADONNA; 1297;1797
 FOSCARI; 1297;1797
 POLO; 1663;1797
 BURICALDO; 1297;1321
 SISOLLA; ?;1387
 GUORO; 1381; tra 1698 e 1709 11
 ABICONOLO; ?;1365
 MARTINENGO 1689,; 1779;1797
 CARAZACANEVO; 1297; prima del '300
 RAMPANI; ?;1314
 DALLA SCALA; 1297; nel '300
 LANZUOLI; 1297;1432
 GUERRA; 1689;1797
 VERONESE; 1704;1797
 MASTALIZI; ?;1324
 BONINSEGNA; 1310;1321 6
