source,docnumber,year,contract_type,repeat_note,tractor_firstname_italian,tractor_familyname_italian,tractor_firstname_latin,tractor_familyname_latin,tractor_familyname_std_gc,tractor_familyname_std,tractor_2_firstname_italian,tractor_2_familyname_italian,tractor_2_firstname_latin,tractor_2_familyname_latin,tractor_2_familyname_std_gc,tractor_2_familyname_std,stans_firstname_italian,stans_familyname_italian,stans_firstname_latin,stans_familyname_latin,stans_familyname_std_gc,stans_familyname_std,stans_2_firstname_italian,stans_2_familyname_italian,stans_2_firstname_latin,stans_2_familyname_latin,stans_2_familyname_std_gc,stans_2_familyname_std
"Morozzo della Rocca and Lombardo (1940)",62,1131,"colleganza settlement","","Marino","Michiel","Marino","Michael","Michiel","Michiel","","","","","","","Colomanno","Bembo","Colomannus","Bembo","Bembo","Bembo","","","","","",""
"Sebellico (1973)",189,1321,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Nicola","Caravello","Nicolao","Charavello","Caravello","Caravello","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",51,1199,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Domenico","Aldoino","Dominicus","Aldoyno","Arduini","Arduini","","","","","",""
"Tiepolo (1970)",148,1312,"colleganza","","Giovanni","Biondo","Iohannes","Blondo","","","","","","","","","Vito","da Canal","Vito","da Canale","Canal","Canal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",56,1130,"colleganza settlement","","Ottone","Falier","Otoni","Faletro","Falier","Falier","","","","","","","Enrico","Morosini","Henrico","Maureceno","Morosini","Morosini","","","","","",""
"Sebellico (1973)",331,1323,"colleganza","","Nicola","Miani","Nicolaus","Miani","Miani","Miani","","","","","","","Francesco","Foscolo","Francisco","Fusculo","Foscolo","Foscolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",353,1186,"colleganza","","Pietro","Morosini","Petrus","Mauroceno","Morosini","Morosini","","","","","","","Vitale","Voltani","Vitale","Voltani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",450,1200,"colleganza","","Domenico","di Albiola","Dominicus","de Aibolo","","","","","","","","","Pietro","Barbani","Petro","Barbani","Barbani","Barbani","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",53,1201,"colleganza","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Pietro","Ziani","Petro","Çiani","Ziani","Ziani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",648,1228,"colleganza settlement","","Rinaldo","Longo","Raynaldo","Longo","Longo","Longo","","","","","","","Giacomo","Bredano","Iacobus","Bredano","Bredani","Bredani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",749,1242,"colleganza","","Odorico","Bello","Odoricus","Bello","Belli","Belli","","","","","","","Angelo","Barastro","Angelo","Barastro","Barastro","Barastro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",520,1207,"colleganza settlement","","Giovanni","Corner","Iohanni","Cornario","Corner","Corner","","","","","","","Filippo","Corner","Philippus","Cornario","Corner","Corner","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",803,1250,"colleganza","","Antonio","Pigozo","Antonius","Pigoco","","","","","","","","","Zorzi","Ballisterio","Corci","Ballisterio","Balestrieri","Balestrieri","","","","","",""
"Sebellico (1973)",472,1327,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Marco","Giustinian","Marco","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",800,1206,"colleganza settlement","","Damiano","Bozolino","Damianus","Butilinus","","","","","","","","","Bonardito","Fiorentino","Bonardito","Florentini","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",469,1205,"colleganza","","Giovanni","Corner","Iohannes","Cornario","Corner","Corner","","","","","","","Angelo","Simitecolo","Angelo","Simiteculo","Semitecolo","Semitecolo","","","","","",""
"Sebellico (1973)",48,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Andrea","Sanudo","Andree","Sanudo","Sanudo","Sanudo","","","","","",""
"Sebellico (1973)",299,1323,"colleganza","","Filippo","Orio","Philippus","Aurio","Orio","Orio","","","","","","","Cecilia","Michiel","Cecilie","Michaeli","Michiel","Michiel","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",678,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Pietro","Alberto","Petro","Alberto","Alberto","Alberto","Clemente","Bonizzo","Clemento","Boniço","",""
"Sebellico (1973)",209,1322,"colleganza","","Marinello","Badoer","Marinellus","Baduario","Badoer","Badoer","","","","","","","Ziani","Badoer","Çiani","Baduario","Badoer","Badoer","","","","","",""
"Sebellico (1973)",346,1323,"colleganza","","Francesco","Morosini","Franciscus","Moroceno","Morosini","Morosini","","","","","","","Marino","Moro","Marino","Moro","Moro","Moro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",507,1208,"colleganza settlement","","Michele","Emo","Michaeli","Aymo","Emo","Emo","","","","","","","Orio","Cassulo","Aurius","Cassulo","Casolo","Casolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",467,1206,"colleganza","","Zaccaria","Stagnario","Çacharias","Staniario","Staniario","Staniario","","","","","","","Palmero","Zane","Palmero","Ianne","Zane","Zane","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",235,1170,"colleganza","","Pietro","da Molin","Petrus","da Molino","Da Molin","Da Molin","","","","","","","Pietro","Venier","Petrus","Venero","Venier","Venier","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",792,1248,"colleganza","","Bogodano","da Veglia","Bogodanus","de Vegla","Veglia","Veglia","","","","","","","Michele","Greco","Michaele","Grego","","Grego","","","","","",""
"Sebellico (1973)",67,1316,"colleganza","","Mirabello","Boninsegna","Mirabello","Bonensegne","Boninsegna","Boninsegna","","","","","","","Nicolotta","Michiel","Nicolotta","Michaeli","Michiel","Michiel","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",73,1209,"colleganza","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Maria","Ziani","Maria","Çiani","Ziani","Ziani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",45,1120,"colleganza settlement","","Domenico","Bilongo","Dominico","Bilongo","","","","","","","","","Orio","Navigaioso","Aurius","Navigaiosus","Navigroso","Navigroso","","","","","",""
"Sebellico (1973)",274,1324,"colleganza","","Giovanni","Zulian","Iohannes","Çuliano","Zulian","Zulian","","","","","","","Agnese","da la Scala","Agneti","de la Scala","Dalla Scala","Dalla Scala","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",57,1202,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Giovani","Badoer","Iohannes","Badouarius","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",525,1210,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Matteo","Marzolo","Matheo","Marcolo","","","","","","","",""
"Sebellico (1973)",529,1329,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Nicola","da le Sevele","Nicolao","de la Sevele","Dalle Sevole","Dalle Sevole","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",40,1118,"colleganza settlement","","Viviano","da Molin","Viviano","da Molino","Da Molin","Da Molin","","","","","","","Domenico","Grilioni","Dominicus","Grilioni","Grioni","Grioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",683,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Rinaldo","de Ranerio","Rainaldo","de Ranerio","","","","","","","",""
"Sebellico (1973)",115,1319,"colleganza","","Biagio","Malipiero","Blaxius","Malipero","Malipiero","Malipiero","","","","","","","Caterina","Arimondo","Catherina","Arimondo","Arimondo","Arimondo","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",50,1198,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Pietro","da Muggia","Petrus","da Mugla","Da Mula","Da Mula","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",638,1226,"colleganza settlement","","Michele","Emo","Michaeli","Aymo","Emo","Emo","","","","","","","Casota","Agadi","Casota","Agadi","Agadi","Agadi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",706,1236,"colleganza","","Marco","Longo","Marcus","Longo","Longo","Longo","","","","","","","Giacomo","Albizo","Iacobo","Albico","Albizzo","Albizzo","","","","","",""
"Sebellico (1973)",106,1320,"colleganza","","Goffredo","Morosini","Çufredus","Moroceno","Morosini","Morosini","","","","","","","Francesca","Morosini","Francisca","Moroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",707,1236,"colleganza","","Pietro","da Vicenza","Petrus","da Vicentia","","","","","","","","","Gabriele","Marignoni","Gabriele","Marignuni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",15,1083,"colleganza","","Domenico","Florenzio","Dominici","Florentii Maureceni","Morosini","Morosini","","","","","","","Ripaldo","Florenzio","Ripaldus","Florentii Maureceni","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",666,1231,"colleganza settlement","","Tommaso","Falier","Thome","Faletro","Falier","Falier","","","","","","","Vitale","Mastrorso","Vitalis","Mastrorso","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",596,1221,"colleganza","","Tommaso","Bono","Thomas","Bono","Bon","Bon","","","","","","","Giocomo","Mudazo","Iacobo","Mudaco","Muazzo","Muazzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",627,1226,"colleganza","","Giovanni","Russo","Iohannes","Russo","","","","","","","","","Soria","","Suria","","","","","","","","",""
"Sebellico (1973)",528,1329,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Marco","Giustinian","Marco","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",759,1243,"colleganza","","Ugolino","di Ruggero","Ugolinus","de Rugerio","Ruzier","Ruzier","","","","","","","Lazzaro","Mercadante","Lacaro","Mercadante","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",239,1172,"colleganza","","Viticlino","Bon","Viticlinus","Bono","Bon","Bon","","","","","","","Vitale","Voltani","Vitali","Vultani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",141,1138,"colleganza settlement","","Marco","Urso","Marco","Urso","","","","","","","","","Ugo","Urso","Petri","Urso","","","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",95,1252,"colleganza","","Nicola","Siriano","Nicolaus","Syrano","","Sirano","","","","","","","Marino","Gisi","Marino","Gisi","Ghisi","Ghisi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",142,1159,"colleganza settlement","","Samuele","Mairano","Samueli","Mairano","","Marano","","","","","","","Domenico","Maciacavallo","Domenicum","Macia Caballo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",495,1208,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Agnese","Soranzo","Agnete","Superancii","Soranzo","Soranzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",437,1197,"colleganza settlement","","Bartolomeo","Fazio","Bartholomeo","Facio","Faccio","Faccio","","","","","","","Natale","Paulini","Natalis","Paulini","Polini","Polini","","","","","",""
"Sebellico (1973)",283,1323,"colleganza","","Dimitri","Foscarini","Dimitri","Fuscareno","Foscarini","Foscarini","","","","","","","Santuccio","Marin","Santucio","Marino","Marin","Marin","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",74,1209,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Stefano","Enzo","Stephanus","Hencio","Encio","Encio","","","","","",""
"Sebellico (1973)",317,1323,"colleganza","","Matteo","de Protis","Matheus","de Protis","","","Marco & Giovaninno","de Protis","Marcus & Iohanninus","de Protis","","","Maria","Tagliapietra","Maria","Taiapetra","Tagliapietra","Tagliapietra","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",136,1159,"colleganza settlement","","Giovanni","Russo","Iohanni","Russo","","","","","","","","","Lipefina","Manolesso","Lipefina","Manolessi","Manolesso","Manolesso","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",494,1207,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Marchisino","di Loreo","Markisinus","de Laureto","","","","","","","",""
"Sebellico (1973)",520,1329,"colleganza","","Pietro","Morosini","Petrus","Mauroceno","Morosini","Morosini","","","","","","","Agnese","dalla Scala","Agneti","da la Scala","Dalla Scala","Dalla Scala","","","","","",""
"Sebellico (1973)",148,1320,"colleganza","","Pietro","Sagredo","Petrus","Sagreto","Sagredo","Sagredo","","","","","","","Giovanni","dei Boccoli","Iohanne","de Bocholis","","","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",61,1204,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Domenico","Aldoino","Dominicus","Aldoyno","Arduini","Arduini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",735,1240,"colleganza","","Gerardo","Vettori","Gerardus","Victuri","Vitturi","Vitturi","","","","","","","Marchese","Veronese","Markese","Veronensi","","","","","","","",""
"Tiepolo (1970)",135,1313,"colleganza","","Bartolomeo","di Fioravante","Bartholameus","de Floravante","","","","","","","","","Costanza","Benedetto","Costantia","Benedicto","Benedetti","Benedetti","","","","","",""
"Sebellico (1973)",399,1326,"colleganza","","Giovanni","Querini","Iohannes","Quirino","Querini","Querini","","","","","","","Giacomo","di Boninsegna detto Orsato","Iacobo","de Bonensegna dicto Orsato","Boninsegna","Boninsegna","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",676,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Donato","Civran","Donato","Civrano","Civran","Civran","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",60,1204,"colleganza","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Matteo","Marzulo","Matheo","Marçulo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",715,1239,"colleganza","","Stefano","di Bruges","Stephanus","de Burgis","","","","","","","","","Gabriele","Marignoni","Gabriele","Marignoni","Marioni","Marioni","","","","","",""
"Tiepolo (1970)",34,1310,"colleganza","","Michele","Contarini","Michael","Contareno","Contarini","Contarini","","","","","","","Costanza","Zorzi","Costancia","Corci","Zorzi","Zorzi","","","","","",""
"Sebellico (1973)",118,1319,"colleganza","","Nicoletto","di Ubaldo","Nicoletus","de Boldo","Boldu","Boldu","","","","","","","Pietro","Cazzamonti","Petrus","Caçamonti","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",568,1217,"colleganza settlement","","Pietro","Vitaliano","Petro","Vitaliano","","Vitaliano","","","","","","","Giacomo","Baseggio","Iacobus","Basilio","Baseggio","Baseggio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",137,1159,"colleganza settlement","","Giacomo","Guido","Iacobo","Guido","Guido","Guido","","","","","","","Giovanni","Rustico","Iohannes","Rusticus","","","","","","","",""
"Sebellico (1973)",890,1333,"colleganza","","Marco","da Molin","Marcus","de Molino","Da Molin","Da Molin","","","","","","","Andrea","Brizi","Andree","Briçi","Brizi","Brizi","","","","","",""
"Sebellico (1973)",527,1329,"colleganza","","Marco","Morosini","Marcus","Mauroceno","Morosini","Morosini","","","","","","","Giacomo","Zordan","Iacobo","Çordano","Zordani","Zordani","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",67,1206,"colleganza","","Gisio","da Fano","Gisius","de Fano","Da Fano","Da Fano","","","","","","","Antolino","Curtulo da Torcello","Antolino","Curtulo de Torcello","","Curtolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",786,1247,"colleganza","","Leonardo","de Lanfranco","Leonardus","de Lanfranco","Lanfranchi","Lanfranchi","","","","","","","Fiorentino","da Mosto","Florentino","da Musto","Mosto","Mosto","","","","","",""
"Sebellico (1973)",474,1327,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Mauroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",355,1183,"colleganza","","Gotello","Vitale Polo","Gautello","Vitalis Paulo","Vidal","Vidal","","","","","","","Feloto","Centosoldi","Feloto","Cento Soldi","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",479,1206,"repeat","copy of document 478","Pietro","da Ferraguto","Petrus","da Feragudo","","","","","","","","","Zaccaria","Stagnario","Cacharia","Staniario","Staniario","Staniario","","","","","",""
"Sebellico (1973)",473,1327,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Nicola","de la Sevele","Nicolao","de la Sevele","Dalle Sevole","Dalle Sevole","","","","","",""
"Sebellico (1973)",316,1323,"colleganza","","Matteo","de Protis","Matheus","de Protis","","","Marco & Giovaninno","de Protis","Marcus & Iohanninus","de Protis","","","Lucia","de Protis","Lucie","de Protis","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",724,1220,"colleganza settlement","","Domenico","Emo","Dominico","Aimo","Emo","Emo","","","","","","","Filocardina","Gramentuni","Filocardine","Gramentuni","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",600,1220,"colleganza settlement","","Filippo","Zantani","Filippo","Cantani","Zantani","Zantani","","","","","","","Leonardo","Dona","Leonardus","Donato","Donato","Donato","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",334,1182,"colleganza","","Giovanni","Tiepolo","Iohannes","Teupulus","Tiepolo","Tiepolo","","","","","","","Marco","Tiepolo","Marco","Teupulo","Tiepolo","Tiepolo","","","","","",""
"Tiepolo (1970)",234,1312,"colleganza","","Andrea","Benedetto","Andreas","Benedicto","Benedetti","Benedetti","","","","","","","Ottonello","Barberius","Otonello","Barberio","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",441,1198,"colleganza","","Giovanni","Anastasio","Iohannes","Anastasius","","","","","","","","","Vitale","Voltani","Vitale","Voltani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",695,1235,"colleganza","","Stefano","Calbo","Stephanus","Calbo","Calbo","Calbo","","","","","","","Filippo","Iantani","Phylippo","Iantani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",802,1250,"colleganza","","Antonio","Pigozo","Antonius","Pigoco","","","","","","","","","Marino","Spatario","Marino","Spatario","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",236,1165,"colleganza settlement","","Angelo","Vitale","Angelo","Vitali","Vidal","Vidal","","","","","","","Leone","Copula","Leonem","Copula","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",451,1200,"colleganza","","Domenico","Davanzago","Dominicus","Davancago","D'Avanzago","D'Avanzago","","","","","","","Orio","Barbarigo","Aureo","Barbadico","Barbarigo","Barbarigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",498,1207,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Marco","Cavalerio","Marcus","Cavalerio","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",388,1190,"colleganza","","Giacomo","Tiepolo","Iacobus","Teupulo","Tiepolo","Tiepolo","","","","","","","Pietro","Ziani","Petro","Ciani","Ziani","Ziani","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",71,1207,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Pietro","da Molin","Petrus","da Molino","Da Molin","Da Molin","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",711,1238,"colleganza","","Sebastiano","Raguseo","Sebastianus","Raguseo","Ragusio","Ragusio","","","","","","","Gabriele","Marignoni","Gabriele","Marignoni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",769,1244,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Giovanni","Giustinian","Iohanne","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",813,1253,"colleganza","","Giovanni","Emo","Iohannes","Aymo","Emo","Emo","","","","","","","Bartolomeo","Groscalco","Bartholomeo","Groscalco","","","","","","","",""
"Sebellico (1973)",119,1319,"colleganza","","Matteo","Flabenigo","Matheus","Flabanico","","Flabiano","","","","","","","Constanza","Semitecolo","Costancia","Simitecolo","Semitecolo","Semitecolo","","","","","",""
"Sebellico (1973)",440,1326,"colleganza","","Marino","Morosini","Marinus","Moroceno","Morosini","Morosini","","","","","","","Cecilia","Giustinian","Cecilie","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",700,1235,"colleganza","","Giacomo","Falier","Iacobus","Faletro","Falier","Falier","","","","","","","Pangrazio","Capello","Pangrati","Capello","Capello","Capello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",569,1217,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Bartolomeo","Bembo","Bartholameo","Benbo","Bembo","Bembo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",632,1225,"colleganza settlement","","Margarito","da Equilo","Margaritum","de Equilo","D'Equilo","D'Equilo","","","","","","","Marco","Dolce","Marci","Dolce","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",491,1207,"colleganza","","Giovanni","Corner","Iohannes","Coronarius","Corner","Corner","","","","","","","Pietro","Longo","Petro","Longo","Longo","Longo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",808,1252,"colleganza","","Andrea","Pentulo","Andreas","Pentulo","","","","","","","","","Frusina","Pentulo","Frusina","Pentulo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",677,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Timoteo","","Timodeo","","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",106,1153,"colleganza","","Filocaro","Calbo","Philocarus","Calbus","Calbo","Calbo","","","","","","","Gervasio","Greco","Gervaso","Greco","","Grego","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",573,1218,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Bartolomeo","Bembo","Bartholomeo","Bembo","Bembo","Bembo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",650,1228,"colleganza settlement","","Rinaldo","Longo","Raynaldo","Longo","Longo","Longo","","","","","","","Obizo","Speziale","Obicus","Spetiales","","","Martino","Speziale","Martinus","Spetiales","",""
"Morozzo della Rocca and Lombardo (1940)",763,1243,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Giovanni","Della Fontana","Iohanne","de La Fontana","Dalla Fontana","Dalla Fontana","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",85,1233,"colleganza settlement","","Iacopo","Venier","Iacobus","Venero","Venier","Venier","","","","","","","Luca","unknown","Luca","unknown","","","","","","","",""
