"","x"
"1","Abiconolo"
"2","Abramo"
"3","Acquisti"
"4","Adamo"
"5","Agrinal"
"6","Aicardo (haicardo)"
"7","Albiringo"
"8","Albrizzi"
"9","Amboise"
"10","Amizzo"
"11","Angaran"
"12","Angusuola"
"13","Anselmi"
"14","Antelmi"
"15","Ariani nel"
"16","Ariberti"
"17","Arnaldi"
"18","Aventurado"
"19","Avogadro"
"20","Avonal nel"
"21","Baffo"
"22","Baglioni"
"23","Balastri (balestro)"
"24","Baluchin"
"25","Balzolani"
"26","Banbazini"
"27","Barbaran"
"28","Barbaro"
"29","Barbetto"
"30","Barbolani"
"31","Barison"
"32","Barzizza"
"33","Basadonna"
"34","Basodello"
"35","Battagia"
"36","Battaglioni"
"37","Bell’osello"
"38","Belloni"
"39","Bellotto"
"40","Benado"
"41","Beneto"
"42","Benfizi"
"43","Bentivoglio"
"44","Beregan"
"45","Berengo"
"46","Berlendis"
"47","Bernardo"
"48","Betani"
"49","Bettoni"
"50","Biaqua"
"51","Boccole (dalle) nel '300"
"52","Boldo"
"53","Bolpe"
"54","Bonci (bonzi)"
"55","Bondumier"
"56","Bonfadini"
"57","Bonlini"
"58","Bonomo"
"59","Bonvicini"
"60","Bordinigo"
"61","Bordolo"
"62","Borini"
"63","Borselli"
"64","Bosebo"
"65","Bosso"
"66","Bragadin"
"67","Brandolin"
"68","Brazolan"
"69","Bregonzi"
"70","Bressa"
"71","Briani"
"72","Brioso (brugloso)"
"73","Bristolani ?"
"74","Buora"
"75","Buricaldo"
"76","Buzzacarin"
"77","Caisselli"
"78","Calergi"
"79","Canabri"
"80","Canal (da)"
"81","Cancanico"
"82","Caotorta"
"83","Carazacanevo"
"84","Carbonizzi"
"85","Caresin"
"86","Carminati"
"87","Caroso"
"88","Cassetti"
"89","Castelli"
"90","Casteroti"
"91","Cattanio"
"92","Catti"
"93","Cavagnis"
"94","Cavalli"
"95","Cavallier"
"96","Cavazza v. lion"
"97","Celini"
"98","Celsi"
"99","Cernovici"
"100","Cicogna"
"101","Cocco"
"102","Cocodrizi"
"103","Codeglioni (colleone)"
"104","Codognola"
"105","Collalto"
"106","Comino"
"107","Concanfo"
"108","Condulmer"
"109","Contenti"
"110","Conti"
"111","Correggio"
"112","Correr"
"113","Cossazza"
"114","Costantino 1297 o"
"115","Cottoni"
"116","Croce"
"117","Crotta"
"118","Curti"
"119","Da comino"
"120","Da mar"
"121","Da porto"
"122","Dal sol"
"123","Dalbore"
"124","Danselmo"
"125","Darmer (armeri)"
"126","Darpo"
"127","Davidor"
"128","Davillo"
"129","De lia"
"130","De malis nel '300"
"131","De verardo"
"132","Deddo"
"133","Della frascada"
