"","x"
"1","Abramo"
"2","Aicardo (haicardo)"
"3","Amizzo"
"4","Baffo"
"5","Barbaro"
"6","Basadonna"
"7","Bernardo"
"8","Betani"
"9","Bolpe"
"10","Bonci (bonzi)"
"11","Bondumier"
"12","Bonomo"
"13","Bosso"
"14","Bragadin"
"15","Brazolan"
"16","Briani"
"17","Brioso (brugloso)"
"18","Buora"
"19","Buricaldo"
"20","Canal (da)"
"21","Caotorta"
"22","Carazacanevo"
"23","Caroso"
"24","Celsi"
"25","Cocco"
"26","Collalto"
"27","Correr"
"28","Da comino"
"29","Darmer (armeri)"
"30","Davidor"
"31","Della frascada"
"32","Diedo"
"33","Don zorzi"
"34","Dono"
"35","Doro"
"36","Dotto (dotho)"
"37","Dozane"
"38","Duodo"
"39","Erizzo"
"40","Ferro"
"41","Foscari"
"42","Gabriel (cabriel)"
"43","Gambarin"
"44","Girardo"
"45","Gradelon"
"46","Grasoni"
"47","Grisoni"
"48","Lanzuoli"
"49","Leucari"
"50","Lezze (da)"
"51","Lugma (lugnano)"
"52","Madeo"
"53","Maganesi dopo"
"54","Magno"
"55","Maistrorso"
"56","Maranzin"
"57","Massoli"
"58","Mazaruol"
"59","Memmo"
"60","Mengolo"
"61","Mezzo (de)"
"62","Miegano 13"
"63","Minotto"
"64","Onoradi"
"65","Paradiso"
"66","Pianega"
"67","Piero"
"68","Pino"
"69","Pisani"
"70","Pizzamano"
"71","Polani"
"72","Polo"
"73","Priuli"
"74","Quintavalle"
"75","Riva (da)"
"76","Rossi"
"77","Ruzzini"
"78","Salamon"
"79","Savia"
"80","Schogolo (secogolo)"
"81","Selvo"
"82","Sesendillo"
"83","Stanier"
"84","Steno"
"85","Thomado"
"86","Totulo"
"87","Valier"
"88","Vendelin"
"89","Veri"
"90","Vetigrassi"
"91","Viani"
"92","Vielmo"
"93","Volpe"
"94","Zancani"
"95","Zancaruol"
